,SoS,Depth
0,1541.06,2.3
1,1540.98,2.69
2,1540.99,2.56
3,1541.0,2.59
4,1540.99,2.75
5,1540.97,2.52
6,1540.96,2.64
7,1540.96,2.66
8,1540.98,2.63
9,1540.93,2.58
10,1540.95,2.65
11,1540.95,2.66
12,1540.94,2.55
13,1541.0,2.65
14,1541.02,2.67
15,1541.03,2.48
16,1541.25,2.62
17,1541.31,2.64
18,1540.94,2.45
19,1540.91,2.74
20,1540.93,2.59
21,1541.1,2.67
22,1540.91,2.6
23,1541.04,2.59
24,1541.13,2.6
25,1541.04,2.67
26,1541.05,2.6
27,1541.05,2.81
28,1541.01,3.04
29,1540.93,3.1
30,1540.97,3.81
31,1540.94,4.44
32,1540.97,4.79
33,1540.96,5.44
34,1540.97,6.17
35,1541.0,6.67
36,1540.98,7.46
37,1540.94,8.32
38,1540.95,9.05
39,1540.9,9.77
40,1540.92,10.64
41,1540.93,11.39
42,1540.92,12.07
43,1540.76,12.98
44,1540.63,13.75
45,1540.64,13.64
46,1540.54,13.76
47,1540.54,13.76
48,1540.53,13.68
49,1540.53,13.82
50,1540.54,13.8
51,1540.5,15.13
52,1540.5,17.44
53,1540.51,19.69
54,1540.59,22.1
55,1540.88,24.33
56,1541.09,26.61
57,1541.35,28.98
58,1541.64,31.22
59,1541.73,33.46
60,1541.68,35.71
61,1541.66,37.95
62,1541.65,40.15
63,1541.67,42.36
64,1541.67,44.59
65,1541.59,46.73
66,1541.49,48.91
67,1541.36,51.05
68,1541.42,53.17
69,1541.66,55.41
70,1541.84,57.53
71,1541.84,59.75
72,1541.8,62.1
73,1541.79,64.19
74,1541.81,66.47
75,1541.8,68.77
76,1541.81,71.01
77,1541.77,73.33
78,1541.61,75.62
79,1541.48,77.87
80,1541.43,80.18
81,1541.52,82.52
82,1541.43,84.71
83,1540.65,87.02
84,1539.79,89.34
85,1539.19,91.69
86,1539.07,94.01
87,1538.37,96.29
88,1537.42,98.54
89,1536.31,100.86
90,1535.95,103.08
91,1535.33,105.49
92,1534.11,107.67
93,1532.72,110.01
94,1531.31,112.36
95,1529.12,114.52
96,1528.17,116.83
97,1527.83,119.09
98,1527.46,121.31
99,1526.81,123.51
100,1525.63,125.9
101,1524.83,128.12
102,1524.04,130.18
103,1522.71,132.44
104,1521.91,134.72
105,1521.83,136.7
106,1521.64,138.94
107,1521.42,141.18
108,1520.96,143.23
109,1520.23,145.59
110,1519.34,147.73
111,1518.62,149.88
112,1517.79,152.19
113,1517.59,154.25
114,1517.28,156.54
115,1516.41,158.84
116,1516.01,160.83
117,1515.42,163.28
118,1514.52,165.54
119,1513.16,167.62
120,1512.38,169.87
121,1511.77,172.11
122,1510.43,174.37
123,1509.99,176.64
124,1509.48,178.91
125,1508.91,181.02
126,1508.0,183.25
127,1507.48,185.38
128,1506.88,187.6
129,1506.46,189.81
130,1506.3,192.16
131,1506.1,194.34
132,1505.64,196.5
133,1505.27,198.66
134,1504.9,200.75
135,1504.81,203.11
136,1504.76,205.21
137,1504.69,207.43
138,1504.28,209.74
139,1503.93,211.64
140,1503.66,213.84
141,1503.54,215.97
142,1503.5,217.87
143,1503.44,220.03
144,1503.34,222.11
145,1503.21,224.22
146,1503.08,226.33
147,1503.03,228.29
148,1503.01,230.44
149,1503.01,232.46
150,1502.87,234.58
151,1502.74,236.81
152,1502.7,238.87
153,1502.65,241.12
154,1502.6,243.24
155,1502.55,245.25
156,1502.45,247.46
157,1502.41,249.64
158,1502.4,251.84
159,1502.29,254.03
160,1502.26,256.13
161,1502.22,258.38
162,1502.16,260.47
163,1502.05,262.62
164,1501.95,264.89
165,1501.92,267.11
166,1501.95,269.3
167,1501.95,271.41
168,1501.91,273.57
169,1501.87,275.79
170,1501.84,277.95
171,1501.75,280.14
172,1501.73,282.28
173,1501.76,284.52
174,1501.75,286.65
175,1501.76,288.82
176,1501.73,290.94
177,1501.66,293.04
178,1501.63,295.33
179,1501.63,297.35
180,1501.63,299.47
181,1501.56,301.7
182,1501.45,303.63
183,1501.45,305.8
184,1501.41,307.87
185,1501.37,309.99
186,1501.3,312.21
187,1501.27,314.3
188,1501.23,316.43
189,1501.19,318.67
190,1501.11,320.69
191,1501.05,322.94
192,1501.02,325.04
193,1501.0,327.2
194,1501.0,329.44
195,1501.03,331.68
196,1500.98,333.69
197,1500.89,335.87
198,1500.83,338.11
199,1500.79,340.12
200,1500.78,342.46
201,1500.75,344.62
202,1500.72,346.8
203,1500.64,348.86
204,1500.62,350.95
205,1500.63,353.15
206,1500.57,355.4
207,1500.53,357.57
208,1500.5,359.69
209,1500.47,361.74
210,1500.37,363.76
211,1500.29,366.0
212,1500.22,368.23
213,1500.18,370.21
214,1500.2,372.41
215,1500.22,374.52
216,1500.17,376.51
217,1500.14,378.61
218,1500.14,380.65
219,1500.15,382.74
220,1500.02,384.78
221,1499.93,386.7
222,1499.93,388.78
223,1499.92,390.9
224,1499.88,392.85
225,1499.8,394.83
226,1499.66,396.94
227,1499.56,399.11
228,1499.52,401.12
229,1499.55,403.27
230,1499.58,405.4
231,1499.55,407.47
232,1499.55,409.56
233,1499.5,411.66
234,1499.54,413.78
235,1499.55,415.95
236,1499.51,418.14
