,SoS,Depth
0,1540.96,2.93
1,1540.92,3.44
2,1540.92,3.95
3,1540.9,4.48
4,1540.91,5.29
5,1540.87,5.78
6,1540.88,5.79
7,1540.88,5.77
8,1540.86,5.75
9,1540.88,5.81
10,1540.86,5.78
11,1540.86,5.78
12,1540.85,5.81
13,1540.85,5.81
14,1540.86,5.78
15,1540.84,5.69
16,1540.87,5.81
17,1540.87,5.77
18,1540.87,5.69
19,1540.88,5.79
20,1540.87,5.85
21,1540.85,5.79
22,1540.86,5.8
23,1540.85,5.75
24,1540.85,5.8
25,1540.84,5.76
26,1540.83,5.79
27,1540.84,5.74
28,1540.84,5.81
29,1540.83,5.74
30,1540.8,5.69
31,1540.82,5.78
32,1540.81,5.79
33,1540.8,5.75
34,1540.83,5.79
35,1540.83,5.75
36,1540.85,6.07
37,1540.83,7.41
38,1540.88,8.6
39,1540.92,9.77
40,1540.94,11.07
41,1540.84,12.14
42,1540.98,13.29
43,1540.91,14.58
44,1540.89,15.69
45,1540.9,16.85
46,1540.97,18.19
47,1541.07,19.65
48,1541.04,21.02
49,1541.01,22.2
50,1541.02,23.76
51,1540.98,25.26
52,1540.95,26.48
53,1540.95,27.93
54,1540.98,29.43
55,1541.04,30.78
56,1541.12,32.02
57,1541.2,33.33
58,1541.34,34.67
59,1541.5,35.81
60,1541.59,36.84
61,1541.7,38.12
62,1541.73,39.54
63,1541.72,40.62
64,1541.71,41.76
65,1541.66,43.08
66,1541.64,44.2
67,1541.56,45.47
68,1541.49,46.67
69,1541.45,47.89
70,1541.45,49.1
71,1541.31,50.58
72,1541.2,51.89
73,1541.19,53.87
74,1541.01,56.38
75,1540.89,58.79
76,1540.72,61.14
77,1540.34,63.63
78,1539.97,66.1
79,1539.61,68.53
80,1539.22,70.73
81,1538.93,73.3
82,1538.3,75.65
83,1537.45,78.06
84,1536.57,80.51
85,1536.14,82.74
86,1535.63,85.0
87,1534.06,87.37
88,1533.44,89.66
89,1532.62,92.07
90,1531.7,94.52
91,1530.23,96.61
92,1529.06,98.88
93,1527.84,101.38
94,1526.48,103.64
95,1524.06,106.01
96,1522.63,108.42
97,1521.41,110.68
98,1520.5,113.03
99,1519.41,115.3
100,1518.74,117.57
101,1517.86,120.1
102,1516.72,122.39
103,1515.93,124.73
104,1515.61,127.14
105,1515.36,129.31
106,1515.05,131.7
107,1514.52,134.1
108,1513.47,136.44
109,1512.42,138.81
110,1511.04,141.15
111,1510.39,143.33
112,1510.31,145.71
113,1509.82,148.1
114,1508.93,150.39
115,1508.57,152.65
116,1508.33,155.02
117,1508.15,157.35
118,1508.08,159.51
119,1508.05,161.75
120,1507.66,164.08
121,1507.24,166.39
122,1507.02,168.56
123,1506.75,170.84
124,1506.4,173.07
125,1505.51,175.2
126,1504.52,177.36
127,1503.73,179.69
128,1503.41,181.88
129,1503.13,183.88
130,1503.08,186.14
131,1503.0,188.36
132,1502.92,190.61
133,1502.78,192.79
134,1502.6,195.13
135,1502.39,197.36
136,1502.27,199.58
137,1502.12,201.74
138,1502.08,204.09
139,1502.06,206.45
140,1501.93,208.6
