,SoS,Depth
0,1539.49,3.0
1,1539.56,3.4
2,1539.63,3.29
3,1539.64,3.66
4,1539.71,3.59
5,1539.72,3.52
6,1539.68,3.87
7,1539.62,3.48
8,1539.61,3.73
9,1539.58,3.67
10,1539.6,3.49
11,1539.6,3.9
12,1539.61,3.41
13,1539.61,3.9
14,1539.63,3.89
15,1539.65,5.75
16,1539.65,7.17
17,1539.65,8.68
18,1539.67,9.78
19,1539.7,11.0
20,1539.72,12.31
21,1539.78,13.42
22,1540.31,14.94
23,1540.42,16.02
24,1540.47,17.61
25,1540.5,19.14
26,1540.53,20.71
27,1540.57,22.4
28,1540.67,23.52
29,1540.79,25.3
30,1540.88,26.66
31,1540.95,28.09
32,1541.07,30.17
33,1541.27,32.16
34,1541.52,34.4
35,1541.63,36.5
36,1541.75,38.51
37,1541.83,40.48
38,1541.91,42.45
39,1541.95,44.52
40,1541.99,46.66
41,1542.03,48.37
42,1542.09,50.4
43,1542.12,52.26
44,1542.15,54.18
45,1542.12,56.25
46,1542.11,57.91
47,1542.04,59.93
48,1542.02,61.76
49,1541.95,63.59
50,1541.78,65.71
51,1541.46,67.38
52,1541.38,69.18
53,1541.33,71.18
54,1541.29,72.99
55,1541.29,74.63
56,1541.42,76.81
57,1541.46,78.39
58,1541.5,80.36
59,1541.55,82.12
60,1541.67,83.82
61,1541.65,85.81
62,1541.6,87.55
63,1541.4,89.52
64,1541.24,91.33
65,1540.92,93.14
66,1540.64,95.01
67,1540.28,96.94
68,1539.62,98.6
69,1538.37,100.72
70,1537.74,102.54
71,1537.56,104.31
72,1537.15,106.27
73,1536.58,108.09
74,1536.39,109.73
75,1536.25,111.84
76,1535.58,113.74
77,1535.09,115.39
78,1534.96,117.53
79,1534.66,118.97
80,1534.32,120.72
81,1533.75,122.92
82,1533.19,124.12
83,1532.74,126.38
84,1532.04,128.07
85,1531.23,129.56
86,1529.26,131.66
87,1528.57,132.95
88,1527.76,134.96
89,1526.96,136.47
90,1526.05,138.32
91,1525.25,139.94
92,1524.68,141.58
93,1524.31,143.22
94,1523.87,144.92
95,1522.96,146.75
96,1521.79,148.25
97,1521.62,150.2
98,1521.49,151.53
99,1521.04,153.39
100,1520.58,155.15
101,1519.97,156.57
102,1518.86,158.52
103,1517.52,160.16
104,1516.71,161.72
105,1515.98,163.7
106,1515.58,165.05
107,1515.29,166.74
108,1515.0,168.45
109,1514.57,170.03
110,1514.07,171.8
111,1513.8,173.64
112,1513.68,174.94
113,1513.54,176.77
114,1513.22,178.21
115,1513.07,179.8
116,1512.4,181.71
117,1511.89,183.01
118,1511.48,184.64
119,1511.21,186.32
120,1511.04,187.65
121,1510.84,189.55
122,1510.6,190.65
123,1510.32,192.43
124,1510.14,194.04
125,1509.89,195.36
126,1509.65,197.25
127,1509.42,198.64
128,1509.09,200.27
129,1508.52,201.87
130,1508.02,203.62
131,1507.73,205.0
132,1507.44,206.58
133,1507.23,208.41
134,1506.87,209.68
135,1506.46,211.58
136,1506.15,213.05
137,1506.02,214.68
138,1505.4,216.32
139,1505.07,217.99
140,1504.92,219.55
141,1504.8,221.18
142,1504.67,222.81
143,1504.63,224.2
144,1504.46,226.02
145,1504.41,227.5
146,1504.3,229.24
147,1504.16,230.9
148,1504.1,232.05
149,1504.02,233.89
150,1503.87,235.33
151,1503.81,236.84
152,1503.63,238.39
153,1503.41,240.04
154,1503.27,241.55
155,1503.24,243.01
156,1503.23,244.55
157,1503.19,245.89
158,1503.09,247.48
159,1502.91,249.0
160,1502.81,250.45
161,1502.79,252.05
162,1502.73,253.5
163,1502.51,254.91
164,1502.35,256.43
165,1502.26,258.03
166,1502.21,259.36
167,1502.19,261.07
168,1502.15,262.49
169,1502.01,263.71
170,1501.93,265.6
171,1501.94,266.49
172,1501.91,268.21
173,1501.9,269.74
174,1501.84,270.84
175,1501.82,272.58
176,1501.79,273.93
177,1501.74,275.22
178,1501.75,276.81
179,1501.73,278.16
180,1501.72,279.61
181,1501.72,281.21
182,1501.73,282.45
183,1501.74,283.93
184,1501.76,285.34
185,1501.73,286.75
186,1501.76,288.26
187,1501.76,289.62
188,1501.76,291.14
189,1501.7,292.7
190,1501.66,293.86
191,1501.65,295.39
192,1501.61,296.67
193,1501.57,298.1
194,1501.54,299.69
195,1501.5,300.94
196,1501.47,302.51
197,1501.51,303.63
198,1501.52,304.82
199,1501.49,306.48
200,1501.48,307.61
201,1501.47,309.1
202,1501.46,310.57
203,1501.44,311.83
204,1501.41,313.51
205,1501.37,314.75
206,1501.37,316.01
207,1501.33,317.66
208,1501.29,318.94
209,1501.25,320.48
210,1501.17,321.98
211,1501.1,323.16
212,1501.08,324.8
213,1501.11,326.18
214,1501.13,327.58
215,1501.12,329.14
216,1501.1,330.61
217,1501.09,332.13
218,1501.07,333.39
219,1501.03,334.81
220,1500.89,336.29
221,1500.86,337.83
222,1500.87,339.3
223,1500.89,340.78
224,1500.71,342.15
225,1500.66,343.54
226,1500.54,345.02
227,1500.47,346.06
228,1500.4,347.87
229,1500.37,348.85
230,1500.36,350.52
231,1500.34,351.8
232,1500.32,352.99
233,1500.14,354.35
234,1500.1,355.66
235,1500.06,356.72
236,1500.04,358.34
237,1499.98,359.41
238,1499.95,360.82
239,1499.94,362.13
240,1499.89,363.22
241,1499.86,364.78
242,1499.81,365.98
243,1499.81,367.45
244,1499.78,368.71
245,1499.76,370.05
246,1499.74,371.41
247,1499.68,372.56
248,1499.68,374.07
249,1499.67,375.36
250,1499.66,376.63
251,1499.66,378.02
252,1499.61,379.4
253,1499.64,380.66
254,1499.66,382.15
255,1499.68,383.42
256,1499.68,384.7
257,1499.68,386.07
258,1499.7,387.42
259,1499.72,388.72
260,1499.74,390.19
261,1499.76,391.32
262,1499.78,392.89
263,1499.8,394.11
264,1499.8,395.37
265,1499.82,396.71
266,1499.83,397.9
267,1499.84,399.36
268,1499.74,400.58
269,1499.65,401.96
270,1499.63,403.28
271,1499.62,403.22
272,1499.64,403.93
273,1499.62,405.05
274,1499.62,406.37
275,1499.64,407.58
276,1499.63,408.83
277,1499.63,410.15
278,1499.63,411.28
279,1499.64,412.73
280,1499.61,413.93
281,1499.59,415.17
282,1499.57,416.66
283,1499.55,417.78
284,1499.54,419.22
285,1499.55,420.39
286,1499.56,421.78
287,1499.56,423.23
288,1499.53,424.42
289,1499.48,425.77
290,1499.43,427.12
291,1499.4,428.47
292,1499.36,429.68
293,1499.32,431.35
294,1499.29,432.29
295,1499.28,433.9
296,1499.31,435.11
297,1499.33,436.39
298,1499.34,437.9
299,1499.35,439.08
300,1499.34,440.43
301,1499.34,441.85
302,1499.25,443.12
303,1499.12,444.41
304,1499.1,445.75
305,1499.06,447.01
306,1499.09,448.4
307,1499.09,449.87
308,1499.1,451.06
309,1499.09,452.52
310,1499.08,453.75
311,1499.04,455.11
312,1499.0,456.39
313,1498.98,457.78
314,1498.98,459.03
315,1498.99,460.24
316,1498.97,461.83
317,1499.0,462.73
318,1498.97,464.29
319,1498.97,465.58
320,1498.98,466.67
321,1498.95,468.41
322,1498.91,469.48
323,1498.88,470.82
324,1498.88,472.33
325,1498.86,473.43
326,1498.87,474.9
327,1498.86,476.34
328,1498.86,477.69
329,1498.83,478.82
330,1498.75,480.56
331,1498.76,481.36
332,1498.74,482.99
333,1498.74,484.48
334,1498.73,485.31
335,1498.75,487.06
336,1498.73,488.18
337,1498.72,489.37
338,1498.69,490.94
339,1498.71,491.74
340,1498.73,493.23
341,1498.72,494.5
342,1498.68,495.77
343,1498.65,497.09
344,1498.69,498.46
345,1498.68,499.4
346,1498.7,500.59
347,1498.72,501.99
348,1498.69,503.09
349,1498.58,504.52
350,1498.5,505.68
351,1498.45,506.75
352,1498.43,508.07
353,1498.44,509.15
354,1498.46,510.3
355,1498.46,511.78
356,1498.47,512.74
357,1498.5,514.07
358,1498.49,515.44
359,1498.46,516.45
360,1498.45,517.81
361,1498.33,519.19
362,1498.28,520.26
363,1498.26,521.79
364,1498.21,522.9
365,1498.17,524.15
366,1498.17,525.5
367,1498.08,526.75
368,1498.02,528.23
369,1498.03,529.46
370,1498.05,530.82
371,1498.04,532.07
372,1498.01,533.33
373,1497.94,534.79
374,1497.9,535.89
375,1497.89,537.48
376,1497.91,538.8
377,1497.93,539.88
378,1497.93,541.52
379,1497.91,542.67
380,1497.94,544.04
381,1497.94,545.41
382,1497.93,546.6
383,1497.93,548.13
384,1497.9,549.23
385,1497.9,550.74
386,1497.9,552.03
387,1497.83,553.38
388,1497.86,554.64
389,1497.86,555.91
390,1497.87,557.18
391,1497.88,558.58
392,1497.9,559.8
393,1497.89,561.04
394,1497.83,562.38
395,1497.76,563.59
396,1497.75,565.02
397,1497.74,566.2
398,1497.73,567.54
399,1497.64,568.85
400,1497.64,570.21
401,1497.65,571.51
402,1497.67,572.83
403,1497.67,574.22
404,1497.68,575.62
405,1497.66,576.98
406,1497.68,578.12
407,1497.69,579.6
408,1497.71,580.82
409,1497.71,582.16
410,1497.69,583.67
411,1497.65,584.92
412,1497.65,586.34
413,1497.66,587.59
414,1497.67,589.0
415,1497.71,590.23
416,1497.73,591.75
417,1497.75,592.85
418,1497.75,594.34
419,1497.77,595.67
420,1497.83,596.8
421,1497.83,598.39
422,1497.84,599.54
423,1497.82,600.86
424,1497.75,602.23
425,1497.73,603.22
426,1497.72,604.68
427,1497.7,606.0
428,1497.64,607.1
429,1497.57,608.46
430,1497.57,609.66
431,1497.56,610.86
432,1497.57,612.01
433,1497.58,613.43
434,1497.59,614.55
435,1497.58,615.82
436,1497.57,617.21
437,1497.54,618.49
438,1497.53,619.75
439,1497.52,621.09
440,1497.49,622.41
441,1497.47,623.58
442,1497.43,625.11
443,1497.37,626.34
444,1497.35,627.66
445,1497.32,629.21
446,1497.3,630.29
447,1497.23,631.83
448,1497.18,633.02
449,1497.11,634.4
450,1497.09,635.93
451,1497.05,636.98
452,1497.03,638.54
453,1497.03,639.9
454,1497.03,641.24
455,1497.03,642.51
456,1496.99,643.88
457,1496.98,645.14
458,1496.92,646.71
459,1496.9,648.07
460,1496.81,649.35
461,1496.78,650.65
462,1496.78,652.14
463,1496.74,653.36
464,1496.72,654.93
465,1496.66,656.14
466,1496.65,657.55
467,1496.63,659.02
468,1496.62,660.22
469,1496.59,661.64
470,1496.49,662.96
471,1496.4,664.4
472,1496.35,665.81
473,1496.32,667.21
474,1496.27,668.51
475,1496.2,669.91
476,1496.12,671.4
