,SoS,Depth
0,1539.72,2.56
1,1539.71,3.04
2,1539.7,3.21
3,1539.72,4.16
4,1539.72,3.93
5,1539.72,4.12
6,1539.71,4.1
7,1539.73,3.94
8,1539.72,4.01
9,1539.72,3.7
10,1539.74,4.12
11,1539.73,4.03
12,1539.74,4.05
13,1539.74,4.11
14,1539.74,4.17
15,1539.73,4.85
16,1539.76,7.21
17,1539.78,8.64
18,1539.82,10.58
19,1539.79,12.27
20,1539.81,13.51
21,1539.79,14.66
22,1539.8,15.84
23,1540.05,17.08
24,1540.33,18.26
25,1540.33,19.0
26,1540.21,20.27
27,1540.42,21.5
28,1540.56,22.36
29,1541.02,23.71
30,1541.17,25.22
31,1541.48,25.94
32,1541.68,26.98
33,1542.16,28.34
34,1542.1,30.66
35,1542.12,32.96
36,1542.15,35.31
37,1542.17,37.25
38,1542.11,39.46
39,1542.03,41.56
40,1541.83,43.83
41,1541.72,46.16
42,1541.5,48.52
43,1541.38,50.33
44,1541.39,52.62
45,1541.73,54.89
46,1541.86,57.32
47,1542.19,59.37
48,1542.28,61.87
49,1542.31,64.0
50,1542.31,66.18
51,1542.27,68.68
52,1542.22,70.77
53,1542.08,73.25
54,1541.71,75.48
55,1541.34,77.57
56,1541.28,80.15
57,1541.21,82.3
58,1541.03,84.86
59,1540.73,87.2
60,1540.16,89.08
61,1539.62,91.57
62,1538.54,93.99
63,1537.91,96.03
64,1537.37,98.72
65,1537.1,100.98
66,1536.47,103.03
67,1535.08,105.5
68,1533.41,107.73
69,1533.01,110.14
70,1532.87,112.63
71,1532.85,115.01
72,1532.42,117.1
73,1531.76,119.05
74,1531.07,121.83
75,1529.78,124.06
76,1528.56,126.1
77,1527.34,128.56
78,1525.8,130.74
79,1524.72,132.72
80,1523.91,135.4
81,1523.13,137.32
82,1522.85,140.01
83,1522.59,142.14
84,1522.35,143.94
85,1522.24,146.6
86,1521.91,148.89
87,1521.14,151.29
88,1520.32,153.66
89,1518.82,155.73
90,1517.97,158.12
91,1516.95,160.28
92,1516.24,162.76
93,1515.25,165.07
94,1514.27,167.41
95,1513.54,169.62
96,1513.0,171.64
97,1512.55,174.46
98,1512.24,176.51
99,1511.96,178.86
100,1511.76,181.07
101,1511.52,183.07
102,1511.16,185.86
103,1510.37,187.8
104,1509.69,190.37
105,1509.14,192.52
106,1508.83,194.64
107,1508.25,196.89
108,1507.65,199.24
109,1507.08,201.57
110,1506.68,204.13
111,1506.56,205.72
112,1506.24,208.03
113,1505.45,210.19
114,1504.89,212.64
115,1504.8,214.79
116,1504.71,217.11
117,1504.62,219.0
118,1504.32,221.05
119,1504.07,223.08
120,1503.78,225.31
121,1503.91,228.22
122,1503.87,229.67
123,1503.77,232.01
124,1503.69,233.83
125,1503.54,236.26
126,1503.12,238.81
127,1502.99,240.88
128,1502.96,243.58
129,1502.97,245.09
130,1502.98,247.19
131,1502.94,249.54
132,1502.9,252.07
133,1502.84,254.73
134,1502.8,256.58
135,1502.74,258.7
136,1502.73,260.83
137,1502.64,262.99
138,1502.58,265.61
139,1502.55,268.37
140,1502.53,269.86
141,1502.5,272.15
142,1502.43,274.5
143,1502.26,276.66
144,1502.02,279.47
145,1501.96,281.65
146,1501.97,283.4
147,1501.94,285.81
148,1501.89,287.8
149,1501.79,290.17
150,1501.83,292.77
151,1501.8,294.97
152,1501.69,297.11
153,1501.63,298.96
154,1501.61,301.33
155,1501.59,303.35
156,1501.53,305.75
157,1501.5,307.82
158,1501.45,310.16
159,1501.46,312.36
160,1501.45,314.38
161,1501.42,316.75
162,1501.43,318.67
163,1501.44,321.26
164,1501.41,322.95
165,1501.34,325.44
166,1501.33,327.62
167,1501.38,329.87
168,1501.39,332.37
169,1501.39,334.19
170,1501.35,336.45
171,1501.36,338.43
172,1501.35,340.75
173,1501.35,343.15
174,1501.35,345.55
175,1501.29,347.8
176,1501.29,349.49
177,1501.26,351.9
178,1501.23,354.22
179,1501.18,356.13
180,1501.17,358.83
181,1501.19,360.69
182,1501.2,362.73
183,1501.13,365.0
184,1501.09,367.14
185,1501.07,369.34
186,1501.02,371.57
187,1500.99,373.77
188,1500.97,375.73
189,1500.94,378.2
190,1500.9,380.21
191,1500.85,382.31
192,1500.84,384.6
193,1500.82,386.67
194,1500.83,388.52
195,1500.81,390.73
196,1500.78,393.0
197,1500.79,394.66
198,1500.8,396.85
199,1500.81,399.37
200,1500.8,401.25
201,1500.8,403.28
202,1500.77,405.44
203,1500.79,407.74
204,1500.79,409.87
205,1500.82,411.84
206,1500.8,414.44
207,1500.82,416.41
208,1500.77,418.5
209,1500.77,420.58
210,1500.76,423.11
211,1500.73,425.14
212,1500.72,427.22
213,1500.75,429.7
214,1500.75,431.38
215,1500.65,433.73
216,1500.54,436.28
217,1500.42,438.16
218,1500.33,440.65
219,1500.26,442.5
220,1500.18,444.86
221,1500.12,446.88
222,1499.98,448.98
223,1499.93,451.46
224,1499.86,453.48
225,1499.75,455.64
226,1499.77,458.1
227,1499.77,459.79
228,1499.79,462.1
229,1499.81,464.25
230,1499.74,466.43
231,1499.68,468.59
232,1499.63,470.79
233,1499.59,473.01
234,1499.56,474.82
235,1499.53,476.98
236,1499.51,479.33
237,1499.5,481.45
238,1499.48,483.36
239,1499.44,485.97
240,1499.43,487.62
241,1499.34,489.71
242,1499.28,492.2
243,1499.27,494.42
244,1499.25,496.29
245,1499.16,498.69
246,1499.04,500.75
247,1498.99,502.37
248,1498.85,505.2
249,1498.83,507.33
250,1498.85,509.33
251,1498.86,511.53
252,1498.83,513.7
253,1498.87,515.7
254,1498.83,518.09
255,1498.84,520.52
256,1498.8,522.53
257,1498.73,524.43
258,1498.69,526.6
259,1498.63,528.58
260,1498.56,531.07
261,1498.52,533.06
262,1498.5,535.46
263,1498.56,537.32
264,1498.54,539.23
265,1498.4,541.57
266,1498.26,543.57
267,1498.2,546.06
268,1498.23,547.83
269,1498.27,549.61
270,1498.29,551.95
271,1498.33,553.94
272,1498.33,556.1
273,1498.36,558.25
274,1498.41,560.22
275,1498.41,562.0
276,1498.44,564.1
277,1498.45,566.42
278,1498.47,568.48
279,1498.48,570.68
280,1498.52,572.7
281,1498.49,574.6
282,1498.49,576.95
283,1498.46,579.01
284,1498.38,581.12
285,1498.23,583.67
286,1498.17,585.1
287,1498.1,587.42
288,1498.07,589.95
289,1498.01,592.05
290,1497.96,594.01
291,1497.85,596.51
292,1497.84,598.15
293,1497.74,600.26
294,1497.67,602.82
295,1497.62,604.87
296,1497.57,606.96
297,1497.55,609.38
298,1497.51,611.16
299,1497.47,613.37
300,1497.41,615.69
301,1497.39,617.77
302,1497.37,619.87
303,1497.33,622.24
304,1497.35,624.08
305,1497.36,626.52
306,1497.29,628.39
307,1497.24,630.89
308,1497.19,632.51
309,1497.14,634.96
310,1497.08,637.05
311,1497.08,638.57
312,1497.06,641.17
313,1497.04,643.13
314,1496.95,645.51
315,1496.81,647.47
316,1496.72,649.52
317,1496.73,651.66
318,1496.65,654.04
319,1496.57,655.67
320,1496.5,658.14
321,1496.36,660.49
322,1496.26,662.27
323,1496.22,664.56
324,1496.23,666.72
325,1496.17,668.74
326,1496.17,670.96
327,1496.02,673.1
328,1496.01,675.37
329,1496.04,677.34
330,1496.05,679.43
331,1496.04,681.84
332,1496.03,683.82
333,1495.99,685.87
334,1495.85,688.51
335,1495.77,689.68
336,1495.73,691.97
337,1495.75,694.54
338,1495.76,695.93
339,1495.61,698.48
340,1495.53,700.59
341,1495.51,702.7
342,1495.48,704.65
343,1495.43,706.45
344,1495.28,708.74
345,1495.21,710.57
346,1495.24,712.61
347,1495.26,714.82
348,1495.31,716.86
349,1495.34,718.72
350,1495.37,720.99
351,1495.4,722.67
352,1495.43,724.84
353,1495.45,726.76
354,1495.49,728.71
355,1495.48,731.04
356,1495.45,733.05
357,1495.4,735.13
358,1495.4,736.87
359,1495.38,739.42
360,1495.38,740.87
361,1495.39,743.54
362,1495.37,745.33
363,1495.34,747.38
364,1495.21,749.59
365,1495.16,751.57
366,1495.15,754.14
367,1495.17,755.85
368,1495.14,758.15
369,1495.11,760.14
370,1495.01,762.02
371,1494.76,764.51
372,1494.71,766.36
373,1494.73,768.61
374,1494.65,770.93
375,1494.6,772.64
376,1494.53,774.83
377,1494.47,777.07
378,1494.47,779.36
379,1494.45,781.42
380,1494.37,783.54
381,1494.39,785.66
382,1494.36,787.85
383,1494.39,789.43
384,1494.37,792.12
385,1494.39,794.02
386,1494.37,795.79
387,1494.42,798.11
388,1494.43,800.54
389,1494.41,802.16
390,1494.43,804.03
391,1494.38,806.58
392,1494.42,808.42
393,1494.39,810.31
394,1494.38,812.8
395,1494.34,814.83
396,1494.31,816.79
397,1494.33,818.93
398,1494.32,821.24
399,1494.27,823.18
400,1494.27,825.04
401,1494.22,827.66
402,1494.25,829.45
403,1494.26,831.72
404,1494.32,833.8
405,1494.32,834.31
406,1494.35,834.81
