,SoS,Depth
0,1538.14,2.09
1,1539.69,3.96
2,1539.81,4.48
3,1539.82,4.63
4,1539.79,5.3
5,1539.79,5.37
6,1539.75,4.94
7,1539.78,5.04
8,1539.78,5.42
9,1539.78,5.19
10,1539.77,5.02
11,1539.81,5.17
12,1539.79,5.13
13,1539.74,5.36
14,1539.78,5.12
15,1539.77,4.95
16,1539.89,5.41
17,1539.79,5.22
18,1539.92,5.63
19,1540.07,6.42
20,1540.06,7.39
21,1539.93,8.41
22,1539.93,9.51
23,1540.05,10.56
24,1540.09,11.87
25,1540.2,13.0
26,1540.39,13.94
27,1540.44,15.32
28,1540.47,16.56
29,1540.53,17.47
30,1540.54,18.73
31,1540.86,19.94
32,1541.03,20.92
33,1541.13,22.23
34,1541.25,23.27
35,1541.43,23.96
36,1541.57,25.12
37,1541.58,26.18
38,1541.54,26.93
39,1541.41,27.92
40,1541.29,29.03
41,1541.23,29.99
42,1541.2,31.15
43,1541.21,32.63
44,1541.32,33.7
45,1541.33,35.03
46,1541.22,36.52
47,1541.21,38.25
48,1541.28,40.24
49,1541.26,42.35
50,1541.14,44.79
51,1541.06,47.11
52,1541.06,49.19
53,1540.78,51.53
54,1540.53,53.89
55,1540.44,56.21
56,1540.22,58.35
57,1539.93,60.78
58,1539.64,63.04
59,1538.86,65.35
60,1538.53,67.94
61,1538.58,69.99
62,1538.61,72.14
63,1538.41,74.68
64,1538.11,77.12
65,1537.82,79.33
66,1537.52,81.45
67,1536.59,83.89
68,1536.2,86.36
69,1536.06,88.32
70,1535.23,90.67
71,1534.21,93.24
72,1533.34,95.5
73,1532.56,97.7
74,1531.33,99.85
75,1528.92,102.43
76,1527.59,104.67
77,1526.4,106.76
78,1525.21,109.18
79,1524.7,111.58
80,1524.13,113.78
81,1523.01,115.97
82,1521.59,118.25
83,1521.14,120.62
84,1520.48,122.94
85,1519.72,125.0
86,1519.31,127.28
87,1518.42,129.87
88,1516.91,131.93
89,1515.84,134.09
90,1515.28,136.55
91,1514.32,138.97
92,1513.67,141.18
93,1513.05,143.24
94,1512.58,145.64
95,1512.28,148.27
96,1512.21,150.26
97,1511.79,152.57
98,1510.98,154.91
99,1510.34,157.52
100,1510.19,159.58
101,1509.64,161.89
102,1509.29,164.48
103,1509.18,166.57
104,1508.91,168.72
105,1508.56,171.27
106,1507.93,173.62
107,1506.99,175.66
108,1506.11,178.08
109,1505.86,180.54
110,1505.23,182.66
111,1504.81,184.97
112,1504.42,187.08
113,1504.16,189.51
114,1503.92,191.99
115,1503.77,193.89
116,1503.42,196.26
117,1502.98,198.63
118,1502.88,200.68
119,1502.91,202.77
120,1502.99,205.16
121,1503.01,207.48
122,1502.94,209.32
123,1502.82,211.55
124,1502.73,213.8
125,1502.48,216.15
126,1502.41,218.18
127,1502.33,220.27
128,1502.26,222.68
129,1502.22,224.98
130,1502.2,226.99
131,1502.19,229.08
132,1502.12,231.75
133,1502.07,233.97
134,1501.91,235.79
135,1501.81,238.31
136,1501.8,240.82
137,1501.81,242.86
138,1501.71,244.99
139,1501.68,247.44
140,1501.64,249.86
141,1501.58,251.94
142,1501.57,254.22
143,1501.46,256.75
144,1501.46,258.72
145,1501.44,261.0
146,1501.43,263.59
147,1501.43,265.77
148,1501.42,268.03
149,1501.39,270.27
150,1501.35,272.55
151,1501.33,274.93
152,1501.32,277.14
153,1501.34,279.34
154,1501.28,281.63
155,1501.31,284.02
156,1501.31,286.35
157,1501.34,288.37
158,1501.32,290.4
159,1501.29,293.08
160,1501.35,295.32
161,1501.35,297.05
162,1501.29,299.39
163,1501.17,301.91
164,1501.13,303.96
165,1501.08,306.07
166,1501.04,308.49
167,1501.05,310.74
168,1501.08,312.89
169,1501.13,315.14
170,1501.16,317.62
171,1501.17,319.71
172,1501.19,321.91
173,1501.12,324.34
174,1501.07,326.74
175,1501.05,329.0
176,1501.05,331.1
177,1501.06,333.53
178,1501.07,335.8
179,1501.08,338.0
180,1501.03,340.51
181,1501.01,342.71
182,1501.04,344.93
183,1501.02,347.33
184,1501.05,349.65
185,1501.05,351.96
186,1501.07,354.19
187,1501.06,356.44
188,1501.01,358.71
189,1500.99,361.14
190,1501.0,363.2
191,1500.98,365.45
192,1500.96,367.99
193,1500.96,370.23
194,1500.96,372.34
195,1500.89,374.62
196,1500.85,376.81
197,1500.86,378.91
198,1500.86,381.34
199,1500.87,383.37
200,1500.82,385.55
201,1500.8,387.65
202,1500.74,389.92
203,1500.65,392.17
204,1500.64,394.22
205,1500.59,396.51
206,1500.61,398.89
207,1500.59,401.02
208,1500.52,403.12
209,1500.5,405.54
210,1500.5,407.91
211,1500.5,410.13
212,1500.49,412.21
213,1500.45,414.64
214,1500.44,416.86
215,1500.35,418.97
216,1500.34,421.5
217,1500.32,423.73
218,1500.33,425.97
219,1500.34,428.43
220,1500.37,430.63
221,1500.41,432.87
222,1500.44,435.27
223,1500.43,437.58
224,1500.37,439.84
225,1500.38,442.2
226,1500.41,444.47
227,1500.39,446.79
228,1500.34,449.07
229,1500.29,451.27
230,1500.27,453.61
231,1500.22,456.16
232,1500.23,458.27
233,1500.16,460.29
234,1500.14,462.8
235,1500.1,465.3
236,1500.07,467.21
237,1500.03,469.41
238,1499.98,471.83
239,1499.96,474.17
240,1499.99,476.25
241,1500.01,478.59
242,1499.99,480.85
243,1500.0,482.96
244,1499.89,485.36
245,1499.86,487.76
246,1499.86,489.98
247,1499.88,492.16
248,1499.84,494.49
249,1499.87,496.89
250,1499.89,499.24
251,1499.88,501.3
252,1499.89,503.75
253,1499.89,506.12
254,1499.87,508.35
255,1499.8,510.55
256,1499.69,512.92
257,1499.46,515.43
258,1499.38,517.5
259,1499.29,519.81
260,1499.15,522.22
261,1499.06,524.57
262,1499.01,526.77
263,1498.94,528.9
264,1498.76,531.36
265,1498.65,533.77
266,1498.53,535.88
267,1498.51,538.13
268,1498.49,540.49
269,1498.5,542.75
270,1498.53,544.95
271,1498.52,547.19
272,1498.55,549.43
273,1498.54,551.7
274,1498.5,553.98
275,1498.49,556.01
276,1498.48,558.02
277,1498.32,560.48
278,1498.24,562.66
279,1498.24,564.7
280,1498.22,566.87
281,1498.23,569.26
282,1498.25,571.45
283,1498.13,573.48
284,1497.97,575.8
285,1497.86,578.19
286,1497.79,580.29
287,1497.61,582.57
288,1497.41,584.93
289,1497.19,587.17
290,1496.84,589.4
291,1496.63,591.59
292,1496.59,593.88
293,1496.48,596.3
294,1496.4,598.66
295,1496.31,600.74
296,1496.29,602.88
297,1496.19,605.51
298,1496.16,607.92
299,1496.1,609.97
300,1496.06,612.21
301,1495.98,614.58
302,1495.93,616.95
303,1495.89,619.28
304,1495.84,621.45
305,1495.81,623.83
306,1495.74,626.21
307,1495.62,628.42
308,1495.56,630.6
309,1495.51,632.95
310,1495.45,635.28
311,1495.42,637.56
312,1495.4,639.87
313,1495.32,642.07
314,1495.28,644.36
315,1495.26,646.42
316,1495.22,648.85
317,1495.21,651.08
318,1495.18,653.22
319,1495.11,655.53
320,1495.06,657.94
321,1495.06,660.02
322,1495.04,662.35
323,1495.01,664.64
324,1494.92,666.85
325,1494.91,669.28
326,1494.89,671.59
327,1494.84,673.83
328,1494.86,675.91
329,1494.8,678.26
330,1494.76,680.8
331,1494.73,683.05
332,1494.7,685.16
333,1494.7,687.71
334,1494.73,690.0
335,1494.63,692.2
336,1494.62,694.37
337,1494.65,696.68
338,1494.63,699.24
339,1494.61,701.45
340,1494.65,703.62
341,1494.65,705.82
342,1494.68,708.16
343,1494.64,710.65
344,1494.64,712.63
345,1494.64,714.78
346,1494.58,717.43
347,1494.6,719.49
348,1494.59,721.62
349,1494.58,724.01
350,1494.56,726.1
351,1494.58,728.36
352,1494.58,730.73
353,1494.57,732.9
354,1494.55,734.74
355,1494.48,736.92
356,1494.4,739.47
357,1494.34,741.58
358,1494.3,743.36
359,1494.29,745.84
360,1494.32,748.36
361,1494.35,750.32
362,1494.38,752.31
363,1494.39,754.69
364,1494.35,757.23
365,1494.29,759.28
366,1494.23,761.2
367,1494.19,763.85
368,1494.23,766.12
369,1494.27,768.32
370,1494.29,770.55
371,1494.26,772.87
372,1494.15,775.35
373,1494.11,777.33
374,1494.08,779.62
375,1494.09,782.08
376,1494.06,784.3
377,1493.94,786.75
378,1493.83,788.83
379,1493.77,791.21
380,1493.8,793.75
381,1493.78,795.56
382,1493.71,798.12
383,1493.67,800.66
384,1493.67,802.63
385,1493.68,804.99
386,1493.69,807.41
387,1493.71,809.71
388,1493.68,811.79
389,1493.65,814.14
390,1493.52,816.63
391,1493.41,818.79
392,1493.41,821.02
393,1493.42,823.3
394,1493.42,825.67
395,1493.44,827.8
396,1493.45,830.02
397,1493.43,832.64
398,1493.42,834.68
399,1493.34,837.1
400,1493.36,839.66
401,1493.41,841.52
402,1493.4,843.96
403,1493.39,846.52
404,1493.39,848.7
405,1493.31,850.92
406,1493.27,853.42
407,1493.21,856.02
408,1493.17,858.07
409,1493.14,860.27
410,1493.13,862.75
411,1493.07,865.36
412,1492.93,867.52
413,1492.89,869.66
414,1492.8,872.28
415,1492.67,874.61
416,1492.68,876.67
417,1492.67,879.0
418,1492.64,881.55
419,1492.61,883.89
420,1492.62,885.86
421,1492.59,888.31
422,1492.44,890.88
423,1492.42,892.82
424,1492.41,895.01
425,1492.37,897.64
426,1492.38,899.76
427,1492.4,901.9
428,1492.43,904.16
429,1492.45,906.42
430,1492.51,908.65
431,1492.54,910.88
432,1492.54,913.12
433,1492.56,915.26
434,1492.6,917.45
435,1492.59,919.51
436,1492.58,921.87
437,1492.59,924.23
438,1492.59,926.25
439,1492.63,928.62
440,1492.65,930.93
441,1492.66,933.15
442,1492.73,935.41
443,1492.66,937.64
444,1492.66,940.08
445,1492.68,942.33
446,1492.73,944.5
447,1492.69,946.82
448,1492.55,949.25
449,1492.51,951.43
450,1492.52,953.76
451,1492.41,956.06
452,1492.33,958.48
453,1492.37,960.83
454,1492.38,963.05
455,1492.32,965.33
456,1492.35,967.71
457,1492.4,969.94
458,1492.4,972.43
459,1492.43,974.75
460,1492.44,976.94
461,1492.48,979.33
462,1492.5,981.62
463,1492.46,983.78
464,1492.46,986.27
465,1492.45,988.59
466,1492.47,990.82
467,1492.49,993.06
468,1492.46,995.45
469,1492.46,997.71
470,1492.47,999.88
471,1492.5,1002.13
472,1492.5,1004.5
473,1492.48,1006.71
474,1492.48,1009.07
475,1492.52,1011.39
476,1492.56,1013.52
477,1492.54,1015.85
478,1492.58,1018.22
479,1492.58,1020.57
480,1492.55,1022.88
481,1492.53,1025.21
482,1492.53,1027.47
483,1492.54,1029.79
484,1492.53,1032.15
485,1492.55,1034.46
486,1492.51,1036.74
487,1492.48,1039.14
488,1492.52,1041.55
489,1492.55,1043.74
490,1492.52,1045.92
491,1492.51,1048.39
492,1492.53,1050.88
493,1492.52,1052.96
494,1492.47,1055.18
495,1492.44,1057.67
496,1492.4,1060.01
497,1492.41,1062.31
498,1492.42,1064.35
499,1492.37,1066.67
500,1492.35,1068.99
501,1492.31,1071.39
502,1492.3,1073.53
503,1492.31,1075.73
504,1492.33,1078.01
505,1492.36,1080.36
506,1492.39,1082.51
507,1492.4,1084.51
508,1492.42,1086.76
509,1492.48,1089.17
510,1492.48,1091.02
511,1492.49,1093.14
512,1492.49,1095.67
513,1492.48,1097.7
514,1492.45,1099.81
515,1492.47,1102.09
516,1492.5,1104.45
517,1492.48,1106.64
518,1492.52,1108.67
519,1492.52,1111.0
520,1492.56,1113.35
521,1492.6,1115.66
522,1492.63,1117.75
523,1492.68,1120.04
524,1492.68,1122.37
525,1492.71,1124.6
526,1492.74,1126.9
527,1492.78,1129.01
528,1492.79,1131.45
