FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	1	1	0.03	30.732	0.00	0.00	-4.553	1510.82	0.00	2022	11	21	7	52	43

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	2	0.03	30.401	0.00	0.00	-4.452	1510.07	0.00	2022	11	21	7	53	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	3	0.03	30.318	0.00	0.00	-4.426	1509.88	0.00	2022	11	21	7	53	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	4	0.03	30.321	0.00	0.00	-4.427	1509.89	0.00	2022	11	21	7	53	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	5	0.03	30.316	0.00	0.00	-4.426	1509.88	0.00	2022	11	21	7	53	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	6	0.03	30.315	0.00	0.00	-4.425	1509.88	0.00	2022	11	21	7	53	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	7	0.02	30.322	0.00	0.00	-4.430	1509.89	0.00	2022	11	21	7	53	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	8	0.02	30.338	0.00	0.00	-4.435	1509.93	0.00	2022	11	21	7	53	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	9	0.03	30.351	0.00	0.00	-4.436	1509.96	0.00	2022	11	21	7	53	24

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	10	0.02	30.378	0.00	0.00	-4.447	1510.02	0.00	2022	11	21	7	53	26

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	11	0.02	30.372	0.00	0.00	-4.445	1510.00	0.00	2022	11	21	7	53	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	12	0.03	30.321	0.00	0.00	-4.427	1509.89	0.00	2022	11	21	7	53	30

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	13	0.03	30.320	0.00	0.00	-4.427	1509.89	0.00	2022	11	21	7	53	32

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	14	0.02	30.309	0.00	0.00	-4.426	1509.86	0.00	2022	11	21	7	53	34

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	15	0.03	30.342	0.00	0.00	-4.433	1509.94	0.00	2022	11	21	7	53	36

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	16	0.03	30.392	0.00	0.00	-4.449	1510.05	0.00	2022	11	21	7	53	38

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	17	0.02	30.391	0.00	0.00	-4.451	1510.05	0.00	2022	11	21	7	53	40

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	18	0.02	30.414	0.00	0.00	-4.458	1510.10	0.00	2022	11	21	7	53	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip03_21Nov22\tsdip 21-11-2022	2	19	0.02	30.369	0.00	0.00	-4.444	1510.00	0.00	2022	11	21	7	53	44

