FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	1	0.04	28.561	0.00	0.00	-3.896	1505.77	0.00	2022	12	23	12	38	45

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	2	0.03	28.493	0.00	0.00	-3.882	1505.60	0.00	2022	12	23	12	38	47

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	3	0.03	28.480	0.00	0.00	-3.878	1505.57	0.00	2022	12	23	12	38	49

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	4	0.03	28.465	0.00	0.00	-3.871	1505.54	0.00	2022	12	23	12	38	51

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	5	0.03	28.454	0.00	0.00	-3.868	1505.51	0.00	2022	12	23	12	38	53

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	6	0.03	28.448	0.00	0.00	-3.869	1505.49	0.00	2022	12	23	12	38	55

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	7	0.03	28.435	0.00	0.00	-3.865	1505.46	0.00	2022	12	23	12	38	57

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	8	0.03	28.408	0.00	0.00	-3.854	1505.40	0.00	2022	12	23	12	38	59

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	9	0.03	28.361	0.00	0.00	-3.841	1505.29	0.00	2022	12	23	12	39	1

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	10	0.04	28.341	0.00	0.00	-3.832	1505.24	0.00	2022	12	23	12	39	3

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	11	0.03	28.332	0.00	0.00	-3.836	1505.21	0.00	2022	12	23	12	39	5

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	12	0.03	28.319	0.00	0.00	-3.832	1505.18	0.00	2022	12	23	12	39	7

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	13	28.39	28.697	0.00	0.00	17.222	1535.94	1.89	2022	12	23	12	39	9

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	14	31.63	28.761	0.00	0.00	19.631	1539.49	3.00	2022	12	23	12	39	11

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	15	31.67	28.773	0.00	0.00	19.658	1539.56	3.40	2022	12	23	12	39	13

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	16	31.73	28.774	0.00	0.00	19.703	1539.63	3.29	2022	12	23	12	39	15

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	17	31.73	28.776	0.00	0.00	19.703	1539.64	3.66	2022	12	23	12	39	17

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	18	31.78	28.785	0.00	0.00	19.741	1539.71	3.59	2022	12	23	12	39	19

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	19	31.80	28.779	0.00	0.00	19.756	1539.72	3.52	2022	12	23	12	39	21

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	20	31.76	28.781	0.00	0.00	19.725	1539.68	3.87	2022	12	23	12	39	23

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	21	31.72	28.773	0.00	0.00	19.694	1539.62	3.48	2022	12	23	12	39	25

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	22	31.71	28.771	0.00	0.00	19.687	1539.61	3.73	2022	12	23	12	39	27

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	23	31.69	28.770	0.00	0.00	19.672	1539.58	3.67	2022	12	23	12	39	29

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	24	31.71	28.772	0.00	0.00	19.685	1539.60	3.49	2022	12	23	12	39	31

R:\Projects\2022075\Navigation\TS_Dips\TS-dip07_23Dec22\TS dip 7NW 23.12.2022	1	25	31.71	28.770	0.00	0.00	19.688	1539.60	3.90	2022	12	23	12	39	33

