FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	1	0.02	26.177	0.00	0.00	-3.244	1499.80	0.00	2022	12	3	5	0	29

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	2	0.00	26.160	0.00	0.00	-3.256	1499.75	0.00	2022	12	3	5	0	31

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	3	0.02	26.174	0.00	0.00	-3.243	1499.80	0.00	2022	12	3	5	0	33

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	4	0.02	26.190	0.00	0.00	-3.247	1499.84	0.00	2022	12	3	5	0	35

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	5	0.02	26.198	0.00	0.00	-3.252	1499.86	0.00	2022	12	3	5	0	37

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	6	0.03	26.069	0.00	0.00	-3.212	1499.53	0.00	2022	12	3	5	0	39

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	7	0.02	25.980	0.00	0.00	-3.194	1499.29	0.00	2022	12	3	5	0	41

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	8	0.02	25.964	0.00	0.00	-3.190	1499.25	0.00	2022	12	3	5	0	43

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	9	24.52	28.308	0.00	0.00	14.445	1531.01	1.27	2022	12	3	5	0	45

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	10	32.20	28.751	0.00	0.00	20.061	1540.06	2.36	2022	12	3	5	0	47

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	11	32.19	28.803	0.00	0.00	20.034	1540.16	2.65	2022	12	3	5	0	49

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	12	32.19	28.806	0.00	0.00	20.032	1540.17	2.71	2022	12	3	5	0	51

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	13	32.18	28.812	0.00	0.00	20.027	1540.18	2.81	2022	12	3	5	0	53

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	14	32.19	28.813	0.00	0.00	20.031	1540.19	2.84	2022	12	3	5	0	55

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	15	32.19	28.814	0.00	0.00	20.031	1540.19	2.86	2022	12	3	5	0	57

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	16	32.20	28.814	0.00	0.00	20.036	1540.20	2.99	2022	12	3	5	0	59

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	17	32.19	28.815	0.00	0.00	20.030	1540.19	2.95	2022	12	3	5	1	1

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	18	32.19	28.813	0.00	0.00	20.032	1540.19	3.03	2022	12	3	5	1	3

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	19	32.19	28.814	0.00	0.00	20.036	1540.20	3.01	2022	12	3	5	1	5

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	20	32.19	28.815	0.00	0.00	20.030	1540.19	2.98	2022	12	3	5	1	7

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	21	32.19	28.814	0.00	0.00	20.031	1540.19	2.95	2022	12	3	5	1	9

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	22	32.19	28.815	0.00	0.00	20.030	1540.19	2.99	2022	12	3	5	1	11

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	23	32.19	28.816	0.00	0.00	20.029	1540.19	2.98	2022	12	3	5	1	13

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	24	32.19	28.815	0.00	0.00	20.030	1540.19	2.99	2022	12	3	5	1	15

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	25	32.19	28.814	0.00	0.00	20.031	1540.19	3.04	2022	12	3	5	1	17

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	26	32.19	28.813	0.00	0.00	20.032	1540.19	2.95	2022	12	3	5	1	19

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	27	32.19	28.811	0.00	0.00	20.034	1540.19	3.09	2022	12	3	5	1	21

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	28	32.18	28.813	0.00	0.00	20.027	1540.18	2.97	2022	12	3	5	1	23

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	29	32.20	28.810	0.00	0.00	20.042	1540.20	3.56	2022	12	3	5	1	25

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	30	32.19	28.809	0.00	0.00	20.041	1540.21	4.40	2022	12	3	5	1	27

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	31	32.18	28.809	0.00	0.00	20.041	1540.22	5.59	2022	12	3	5	1	29

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	32	32.18	28.805	0.00	0.00	20.044	1540.23	6.82	2022	12	3	5	1	31

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	33	32.18	28.807	0.00	0.00	20.053	1540.26	8.16	2022	12	3	5	1	33

R:\Projects\2022075\Navigation\TS_Dips\TS-dip05_03Dec22\TS DIP 5 03.12.2022	1	34	32.21	28.829	0.00	0.00	20.071	1540.35	9.58	2022	12	3	5	1	35

