FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	33	32.21	29.089	0.00	0.00	19.966	1540.85	5.81	2022	11	7	4	34	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	34	32.20	29.093	0.00	0.00	19.962	1540.86	5.78	2022	11	7	4	34	44

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	35	32.20	29.086	0.00	0.00	19.963	1540.84	5.69	2022	11	7	4	34	46

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	36	32.21	29.093	0.00	0.00	19.968	1540.87	5.81	2022	11	7	4	34	48

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	37	32.21	29.094	0.00	0.00	19.967	1540.87	5.77	2022	11	7	4	34	50

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	38	32.21	29.097	0.00	0.00	19.964	1540.87	5.69	2022	11	7	4	34	52

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	39	32.22	29.096	0.00	0.00	19.970	1540.88	5.79	2022	11	7	4	34	54

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	40	32.22	29.092	0.00	0.00	19.979	1540.87	5.85	2022	11	7	4	34	56

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	41	32.21	29.087	0.00	0.00	19.973	1540.85	5.79	2022	11	7	4	34	58

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	42	32.22	29.085	0.00	0.00	19.979	1540.86	5.80	2022	11	7	4	35	0

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	43	32.23	29.081	0.00	0.00	19.983	1540.85	5.75	2022	11	7	4	35	2

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	44	32.22	29.082	0.00	0.00	19.977	1540.85	5.80	2022	11	7	4	35	4

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	45	32.22	29.076	0.00	0.00	19.982	1540.84	5.76	2022	11	7	4	35	6

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	46	32.23	29.067	0.00	0.00	19.989	1540.83	5.79	2022	11	7	4	35	8

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	47	32.23	29.071	0.00	0.00	19.991	1540.84	5.74	2022	11	7	4	35	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	48	32.22	29.073	0.00	0.00	19.984	1540.84	5.81	2022	11	7	4	35	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	49	32.25	29.058	0.00	0.00	20.007	1540.83	5.74	2022	11	7	4	35	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	50	32.24	29.049	0.00	0.00	20.004	1540.80	5.69	2022	11	7	4	35	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	51	32.23	29.058	0.00	0.00	19.997	1540.82	5.78	2022	11	7	4	35	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	52	32.24	29.054	0.00	0.00	20.000	1540.81	5.79	2022	11	7	4	35	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	53	32.22	29.063	0.00	0.00	19.982	1540.80	5.75	2022	11	7	4	35	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	54	32.22	29.074	0.00	0.00	19.983	1540.83	5.79	2022	11	7	4	35	24

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	55	32.21	29.075	0.00	0.00	19.972	1540.83	5.75	2022	11	7	4	35	26

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	56	32.22	29.079	0.00	0.00	19.980	1540.85	6.07	2022	11	7	4	35	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	57	32.24	29.052	0.00	0.00	20.008	1540.83	7.41	2022	11	7	4	35	30

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	58	32.22	29.072	0.00	0.00	19.997	1540.88	8.60	2022	11	7	4	35	32

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	59	32.21	29.085	0.00	0.00	19.991	1540.92	9.77	2022	11	7	4	35	34

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	60	32.22	29.083	0.00	0.00	19.998	1540.94	11.07	2022	11	7	4	35	36

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	61	32.34	28.972	0.00	0.00	20.130	1540.84	12.14	2022	11	7	4	35	38

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	62	32.51	28.943	0.00	0.00	20.277	1540.98	13.29	2022	11	7	4	35	40

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	63	32.64	28.837	0.00	0.00	20.412	1540.91	14.58	2022	11	7	4	35	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	64	32.67	28.806	0.00	0.00	20.448	1540.89	15.69	2022	11	7	4	35	44

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	65	32.68	28.792	0.00	0.00	20.470	1540.90	16.85	2022	11	7	4	35	46

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	66	32.72	28.796	0.00	0.00	20.503	1540.97	18.19	2022	11	7	4	35	48

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	67	32.82	28.786	0.00	0.00	20.584	1541.07	19.65	2022	11	7	4	35	50

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	68	32.86	28.741	0.00	0.00	20.638	1541.04	21.02	2022	11	7	4	35	52

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	69	32.87	28.715	0.00	0.00	20.654	1541.01	22.20	2022	11	7	4	35	54

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	70	32.88	28.702	0.00	0.00	20.677	1541.02	23.76	2022	11	7	4	35	56

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	71	32.92	28.648	0.00	0.00	20.734	1540.98	25.26	2022	11	7	4	35	58

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	72	33.00	28.594	0.00	0.00	20.810	1540.95	26.48	2022	11	7	4	36	0

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	73	33.01	28.571	0.00	0.00	20.836	1540.95	27.93	2022	11	7	4	36	2

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	74	33.05	28.557	0.00	0.00	20.875	1540.98	29.43	2022	11	7	4	36	4

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	75	33.10	28.554	0.00	0.00	20.919	1541.04	30.78	2022	11	7	4	36	6

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	76	33.13	28.561	0.00	0.00	20.944	1541.12	32.02	2022	11	7	4	36	8

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	77	33.16	28.574	0.00	0.00	20.969	1541.20	33.33	2022	11	7	4	36	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	78	33.24	28.592	0.00	0.00	21.026	1541.34	34.67	2022	11	7	4	36	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	79	33.31	28.620	0.00	0.00	21.079	1541.50	35.81	2022	11	7	4	36	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	80	33.33	28.645	0.00	0.00	21.088	1541.59	36.84	2022	11	7	4	36	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	81	33.39	28.655	0.00	0.00	21.136	1541.70	38.12	2022	11	7	4	36	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	82	33.44	28.634	0.00	0.00	21.186	1541.73	39.54	2022	11	7	4	36	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	83	33.46	28.613	0.00	0.00	21.213	1541.72	40.62	2022	11	7	4	36	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	84	33.48	28.590	0.00	0.00	21.238	1541.71	41.76	2022	11	7	4	36	24

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	85	33.50	28.546	0.00	0.00	21.276	1541.66	43.08	2022	11	7	4	36	26

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	86	33.54	28.512	0.00	0.00	21.320	1541.64	44.20	2022	11	7	4	36	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	87	33.54	28.462	0.00	0.00	21.342	1541.56	45.47	2022	11	7	4	36	30

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	88	33.60	28.397	0.00	0.00	21.413	1541.49	46.67	2022	11	7	4	36	32

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	89	33.60	28.367	0.00	0.00	21.428	1541.45	47.89	2022	11	7	4	36	34

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	90	33.63	28.341	0.00	0.00	21.466	1541.45	49.10	2022	11	7	4	36	36

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	91	33.67	28.247	0.00	0.00	21.532	1541.31	50.58	2022	11	7	4	36	38

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	92	33.71	28.170	0.00	0.00	21.593	1541.20	51.89	2022	11	7	4	36	40

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	93	33.69	28.163	0.00	0.00	21.587	1541.19	53.87	2022	11	7	4	36	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	94	33.76	28.026	0.00	0.00	21.699	1541.01	56.38	2022	11	7	4	36	44

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	95	33.82	27.927	0.00	0.00	21.784	1540.89	58.79	2022	11	7	4	36	46

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	96	33.88	27.801	0.00	0.00	21.882	1540.72	61.14	2022	11	7	4	36	48

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	97	33.95	27.583	0.00	0.00	22.012	1540.34	63.63	2022	11	7	4	36	50

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	98	34.01	27.365	0.00	0.00	22.143	1539.97	66.10	2022	11	7	4	36	52

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	99	34.02	27.190	0.00	0.00	22.214	1539.61	68.53	2022	11	7	4	36	54

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	100	34.07	26.978	0.00	0.00	22.327	1539.22	70.73	2022	11	7	4	36	56

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	101	34.08	26.823	0.00	0.00	22.397	1538.93	73.30	2022	11	7	4	36	58

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	102	34.17	26.491	0.00	0.00	22.583	1538.30	75.65	2022	11	7	4	37	0

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	103	34.24	26.076	0.00	0.00	22.776	1537.45	78.06	2022	11	7	4	37	2

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	104	34.24	25.684	0.00	0.00	22.909	1536.57	80.51	2022	11	7	4	37	4

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	105	34.21	25.505	0.00	0.00	22.948	1536.14	82.74	2022	11	7	4	37	6

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	106	34.32	25.225	0.00	0.00	23.131	1535.63	85.00	2022	11	7	4	37	8

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	107	34.34	24.556	0.00	0.00	23.352	1534.06	87.37	2022	11	7	4	37	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	108	34.35	24.277	0.00	0.00	23.460	1533.44	89.66	2022	11	7	4	37	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	109	34.48	23.875	0.00	0.00	23.687	1532.62	92.07	2022	11	7	4	37	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	110	34.47	23.497	0.00	0.00	23.800	1531.70	94.52	2022	11	7	4	37	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	111	34.60	22.848	0.00	0.00	24.098	1530.23	96.61	2022	11	7	4	37	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	112	34.50	22.425	0.00	0.00	24.146	1529.06	98.88	2022	11	7	4	37	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	113	34.64	21.885	0.00	0.00	24.415	1527.84	101.38	2022	11	7	4	37	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	114	34.80	21.291	0.00	0.00	24.712	1526.48	103.64	2022	11	7	4	37	24

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	115	34.77	20.394	0.00	0.00	24.947	1524.06	106.01	2022	11	7	4	37	26

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	116	34.73	19.878	0.00	0.00	25.064	1522.63	108.42	2022	11	7	4	37	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	117	34.66	19.459	0.00	0.00	25.127	1521.41	110.68	2022	11	7	4	37	30

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	118	34.73	19.093	0.00	0.00	25.287	1520.50	113.03	2022	11	7	4	37	32

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	119	34.71	18.704	0.00	0.00	25.382	1519.41	115.30	2022	11	7	4	37	34

