FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	1	0.02	26.510	0.00	0.00	-3.336	1500.66	0.00	2022	11	13	4	59	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	2	0.02	26.488	0.00	0.00	-3.330	1500.60	0.00	2022	11	13	4	59	30

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	3	0.01	26.498	0.00	0.00	-3.335	1500.62	0.01	2022	11	13	4	59	32

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	4	0.02	26.508	0.00	0.00	-3.336	1500.65	0.00	2022	11	13	4	59	34

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	5	0.01	26.520	0.00	0.00	-3.341	1500.68	0.03	2022	11	13	4	59	36

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	6	0.02	26.528	0.00	0.00	-3.341	1500.70	0.05	2022	11	13	4	59	38

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	7	0.01	26.541	0.00	0.00	-3.347	1500.73	0.02	2022	11	13	4	59	40

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	8	0.02	26.545	0.00	0.00	-3.343	1500.75	0.00	2022	11	13	4	59	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	9	0.02	26.547	0.00	0.00	-3.343	1500.75	0.04	2022	11	13	4	59	44

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	10	0.02	26.559	0.00	0.00	-3.349	1500.78	0.00	2022	11	13	4	59	46

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	11	0.02	26.564	0.00	0.00	-3.351	1500.79	0.00	2022	11	13	4	59	48

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	12	0.02	26.570	0.00	0.00	-3.352	1500.81	0.00	2022	11	13	4	59	50

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	13	0.01	26.582	0.00	0.00	-3.358	1500.84	0.00	2022	11	13	4	59	52

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	14	0.02	26.598	0.00	0.00	-3.360	1500.88	0.00	2022	11	13	4	59	54

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	15	0.01	26.618	0.00	0.00	-3.368	1500.93	0.00	2022	11	13	4	59	56

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	16	0.02	26.633	0.00	0.00	-3.369	1500.95	0.00	2022	11	13	4	59	58

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	17	0.02	26.644	0.00	0.00	-3.370	1501.00	0.00	2022	11	13	5	0	0

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	18	0.02	26.658	0.00	0.00	-3.376	1501.01	0.00	2022	11	13	5	0	2

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	19	0.02	26.665	0.00	0.00	-3.375	1501.05	0.01	2022	11	13	5	0	4

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	20	31.65	28.146	0.00	0.00	19.842	1538.14	2.09	2022	11	13	5	0	6

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	21	32.62	28.370	0.00	0.00	20.505	1539.69	3.96	2022	11	13	5	0	8

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	22	32.69	28.388	0.00	0.00	20.554	1539.81	4.48	2022	11	13	5	0	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	23	32.70	28.385	0.00	0.00	20.563	1539.82	4.63	2022	11	13	5	0	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	24	32.68	28.377	0.00	0.00	20.557	1539.79	5.30	2022	11	13	5	0	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	25	32.69	28.375	0.00	0.00	20.559	1539.79	5.37	2022	11	13	5	0	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	26	32.66	28.371	0.00	0.00	20.539	1539.75	4.94	2022	11	13	5	0	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	27	32.69	28.372	0.00	0.00	20.560	1539.78	5.04	2022	11	13	5	0	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	28	32.68	28.368	0.00	0.00	20.559	1539.78	5.42	2022	11	13	5	0	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	29	32.70	28.366	0.00	0.00	20.571	1539.78	5.19	2022	11	13	5	0	24

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	30	32.69	28.365	0.00	0.00	20.566	1539.77	5.02	2022	11	13	5	0	26

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	31	32.73	28.363	0.00	0.00	20.594	1539.81	5.17	2022	11	13	5	0	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	32	32.70	28.370	0.00	0.00	20.567	1539.79	5.13	2022	11	13	5	0	30

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	33	32.66	28.363	0.00	0.00	20.543	1539.74	5.36	2022	11	13	5	0	32

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	34	32.70	28.366	0.00	0.00	20.570	1539.78	5.12	2022	11	13	5	0	34

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	35	32.68	28.368	0.00	0.00	20.558	1539.77	4.95	2022	11	13	5	0	36

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	36	32.76	28.380	0.00	0.00	20.617	1539.89	5.41	2022	11	13	5	0	38

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	37	32.70	28.368	0.00	0.00	20.569	1539.79	5.22	2022	11	13	5	0	40

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	38	32.76	28.397	0.00	0.00	20.608	1539.92	5.63	2022	11	13	5	0	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	39	32.85	28.417	0.00	0.00	20.672	1540.07	6.42	2022	11	13	5	0	44

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	40	32.85	28.400	0.00	0.00	20.685	1540.06	7.39	2022	11	13	5	0	46

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	41	32.76	28.382	0.00	0.00	20.622	1539.93	8.41	2022	11	13	5	0	48

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	42	32.73	28.386	0.00	0.00	20.602	1539.93	9.51	2022	11	13	5	0	50

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	43	32.79	28.405	0.00	0.00	20.647	1540.05	10.56	2022	11	13	5	0	52

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	44	32.80	28.406	0.00	0.00	20.662	1540.09	11.87	2022	11	13	5	0	54

R:\Projects\2022075\Navigation\TS_Dips\TS-dip02_13Nov22\ts dip 13.11.2022	1	45	32.81	28.448	0.00	0.00	20.657	1540.20	13.00	2022	11	13	5	0	56

