FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	158	32.10	29.241	0.00	0.00	19.818	1541.00	1.84	2022	11	28	3	52	4

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	159	32.61	29.017	0.00	0.00	20.277	1541.06	2.30	2022	11	28	3	52	6

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	160	32.61	28.980	0.00	0.00	20.289	1540.98	2.69	2022	11	28	3	52	8

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	161	32.61	28.980	0.00	0.00	20.294	1540.99	2.56	2022	11	28	3	52	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	162	32.62	28.984	0.00	0.00	20.296	1541.00	2.59	2022	11	28	3	52	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	163	32.62	28.978	0.00	0.00	20.301	1540.99	2.75	2022	11	28	3	52	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	164	32.62	28.971	0.00	0.00	20.301	1540.97	2.52	2022	11	28	3	52	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	165	32.61	28.969	0.00	0.00	20.293	1540.96	2.64	2022	11	28	3	52	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	166	32.62	28.964	0.00	0.00	20.303	1540.96	2.66	2022	11	28	3	52	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	167	32.61	28.977	0.00	0.00	20.292	1540.98	2.63	2022	11	28	3	52	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	168	32.62	28.953	0.00	0.00	20.306	1540.93	2.58	2022	11	28	3	52	24

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	169	32.60	28.971	0.00	0.00	20.286	1540.95	2.65	2022	11	28	3	52	26

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	170	32.61	28.960	0.00	0.00	20.301	1540.95	2.66	2022	11	28	3	52	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	171	32.60	28.965	0.00	0.00	20.286	1540.94	2.55	2022	11	28	3	52	30

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	172	32.61	28.984	0.00	0.00	20.291	1541.00	2.65	2022	11	28	3	52	32

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	173	32.59	29.001	0.00	0.00	20.271	1541.02	2.67	2022	11	28	3	52	34

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	174	32.60	29.006	0.00	0.00	20.277	1541.03	2.48	2022	11	28	3	52	36

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	175	32.58	29.114	0.00	0.00	20.227	1541.25	2.62	2022	11	28	3	52	38

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	176	32.67	29.101	0.00	0.00	20.294	1541.31	2.64	2022	11	28	3	52	40

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	177	32.60	28.965	0.00	0.00	20.286	1540.94	2.45	2022	11	28	3	52	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	178	32.61	28.944	0.00	0.00	20.304	1540.91	2.74	2022	11	28	3	52	44

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	179	32.59	28.967	0.00	0.00	20.279	1540.93	2.59	2022	11	28	3	52	46

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	180	32.68	29.000	0.00	0.00	20.334	1541.10	2.67	2022	11	28	3	52	48

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	181	32.61	28.947	0.00	0.00	20.301	1540.91	2.60	2022	11	28	3	52	50

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	182	32.64	28.991	0.00	0.00	20.310	1541.04	2.59	2022	11	28	3	52	52

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	183	32.61	29.051	0.00	0.00	20.265	1541.13	2.60	2022	11	28	3	52	54

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	184	32.57	29.023	0.00	0.00	20.248	1541.04	2.67	2022	11	28	3	52	56

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	185	32.61	29.011	0.00	0.00	20.278	1541.05	2.60	2022	11	28	3	52	58

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	186	32.61	29.011	0.00	0.00	20.279	1541.05	2.81	2022	11	28	3	53	0

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	187	32.63	28.982	0.00	0.00	20.304	1541.01	3.04	2022	11	28	3	53	2

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	188	32.59	28.959	0.00	0.00	20.288	1540.93	3.10	2022	11	28	3	53	4

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	189	32.62	28.957	0.00	0.00	20.313	1540.97	3.81	2022	11	28	3	53	6

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	190	32.61	28.943	0.00	0.00	20.312	1540.94	4.44	2022	11	28	3	53	8

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	191	32.61	28.958	0.00	0.00	20.306	1540.97	4.79	2022	11	28	3	53	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	192	32.62	28.945	0.00	0.00	20.320	1540.96	5.44	2022	11	28	3	53	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	193	32.61	28.946	0.00	0.00	20.317	1540.97	6.17	2022	11	28	3	53	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	194	32.61	28.955	0.00	0.00	20.316	1541.00	6.67	2022	11	28	3	53	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	195	32.62	28.934	0.00	0.00	20.332	1540.98	7.46	2022	11	28	3	53	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	196	32.61	28.917	0.00	0.00	20.335	1540.94	8.32	2022	11	28	3	53	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	197	32.61	28.915	0.00	0.00	20.339	1540.95	9.05	2022	11	28	3	53	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	198	32.61	28.883	0.00	0.00	20.354	1540.90	9.77	2022	11	28	3	53	24

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	199	32.60	28.891	0.00	0.00	20.351	1540.92	10.64	2022	11	28	3	53	26

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	200	32.60	28.892	0.00	0.00	20.348	1540.93	11.39	2022	11	28	3	53	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip04_28Nov22\TS dip 4 28.11.2022	1	201	32.61	28.878	0.00	0.00	20.362	1540.92	12.07	2022	11	28	3	53	30

