FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	1	0.03	26.090	0.00	0.00	-3.218	1499.58	0.00	2022	12	12	0	50	10

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	2	0.03	26.110	0.00	0.00	-3.223	1499.63	0.00	2022	12	12	0	50	12

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	3	0.03	26.155	0.00	0.00	-3.235	1499.75	0.00	2022	12	12	0	50	14

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	4	0.03	26.196	0.00	0.00	-3.246	1499.86	0.03	2022	12	12	0	50	16

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	5	0.03	26.196	0.00	0.00	-3.246	1499.86	0.00	2022	12	12	0	50	18

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	6	0.03	26.198	0.00	0.00	-3.246	1499.86	0.00	2022	12	12	0	50	20

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	7	0.06	26.137	0.00	0.00	-3.208	1499.74	0.00	2022	12	12	0	50	22

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	8	0.02	26.089	0.00	0.00	-3.220	1499.58	0.00	2022	12	12	0	50	24

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	9	0.03	26.103	0.00	0.00	-3.221	1499.62	0.00	2022	12	12	0	50	26

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	10	0.02	26.535	0.00	0.00	-3.340	1500.73	0.03	2022	12	12	0	50	28

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	11	32.24	28.251	0.00	0.00	20.247	1538.98	1.04	2022	12	12	0	50	30

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	12	32.16	28.375	0.00	0.00	20.149	1539.17	1.19	2022	12	12	0	50	32

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	13	32.15	28.333	0.00	0.00	20.153	1539.07	1.26	2022	12	12	0	50	34

R:\Projects\2022075\Navigation\TS_Dips\TS-dip06_12Dec22\TS Dip 6 12.12	1	14	32.13	28.320	0.00	0.00	20.139	1539.01	1.52	2022	12	12	0	50	36

